Hora de publicación,Impresiones,Alcance,Comentarios,Compartidos,Clics,Reacciones
05/22/2023 09:05,2130,1637,1,1,30,3
05/22/2023 09:05,1786,1514,0,0,33,0
05/22/2023 09:05,2781,2464,0,0,64,14
05/19/2023 17:05,3570,2929,1,0,291,32
05/19/2023 09:05,2107,1709,0,0,33,5
05/18/2023 15:05,2062,1610,0,2,21,0
05/18/2023 15:05,6951,4541,1,3,760,42
05/18/2023 14:05,7793,5307,1,8,601,40
05/18/2023 13:05,11016,8044,18,9,2350,168
05/18/2023 09:05,2446,2071,0,0,51,3
05/18/2023 09:05,1474,1178,0,0,10,0
05/18/2023 09:05,2354,1995,0,0,130,12
05/18/2023 09:05,1827,1524,0,1,50,5
05/17/2023 12:05,3204,2811,0,3,107,12
05/17/2023 12:05,3553,2867,0,7,131,8
